benchmark,task,model,valid_rollouts,M25,M50,M75,SR,MP,PPL,CRA,STR,DRR,FNS,SQS
RoboDojo-RealWorld,stand_up_bottles,Pi-0,10,0.5,0.1,0,0,0.245,0.07868929793466395,0.07499790577407904,0.3541666666666667,0.8980432333482609,0.1225,0
RoboDojo-RealWorld,stand_up_bottles,Spirit v1.5,10,1,0.8,0.1,0,0.5753666666666666,0.32797677922411433,0.041101421760071956,0.1979166666666667,0.9013071796803956,0.4876833333333333,0
RoboDojo-RealWorld,stand_up_bottles,StarVLA,10,0.8,0.3,0.2,0,0.48919999999999997,0.26267838659385545,0.060166367550546856,0.1875,0.09941516263094684,0.24459999999999993,0
RoboDojo-RealWorld,stand_up_bottles,X-VLA,10,1,0.7,0.5,0,0.70905,0.3886298090801765,0.050627369497308075,0.15625,1,0.704525,0
RoboDojo-RealWorld,stand_up_bottles,Xiaomi-Robotics-0,10,0.7,0.3,0.1,0,0.45897142857142853,0.26396070514390224,0.039922141310375386,0.3645833333333333,0.6941543792856928,0.2294857142857143,0
RoboDojo-RealWorld,store_in_safe,X-VLA,10,1,0.8,0.4,0.3,0.685542857142857,0.4779320304063487,0.025532178655727975,0.2728021978021977,0.7973507475189926,0.5274285714285714,0.7892376194626866
RoboDojo-RealWorld,store_in_safe,InternVLA-A1,10,1,1,0.5,0.2,0.7538357142857144,0.6115975884391023,0.008753293559399872,0.2596153846153846,1,0.5739749999999999,0.8661915237825151
RoboDojo-RealWorld,store_in_safe,Pi-05,10,1,0.9,0.5,0.2,0.7467499999999999,0.5595918501708079,0.01798724911071997,0.22649572649572652,1,0.5701607142857144,0.8776563353665793
RoboDojo-RealWorld,store_in_safe,Xiaomi-Robotics-0,10,1,0.9,0.3,0.2,0.7129999999999999,0.4958971269846601,0.028312602735149628,0.2756410256410256,0.6783492812101428,0.5364249999999999,0.9156253896468486
RoboDojo-RealWorld,store_in_safe,GalaxeaVLA (G0),10,0.3,0.2,0,0,0.1625,0.06521239180970692,0.1274277256380858,0.5288461538461539,0.6997210565632245,0.08124999999999999,0
RoboDojo-RealWorld,store_in_safe,GROOT-N1.7,10,0.8,0.8,0.4,0,0.6807,0.48100605603141466,0.02748445490943515,0.40384615384615385,0.3646332944613787,0.54035,0
RoboDojo-RealWorld,store_in_safe,Pi-0,10,0.7,0.3,0,0,0.4626499999999999,0.2650956585680111,0.0398630385605504,0.3269230769230769,0.7943586883220806,0.231325,0
RoboDojo-RealWorld,store_in_safe,StarVLA,10,0.8,0.2,0,0,0.4654499999999999,0.2911710396021122,0.04474981839154082,0.3669544740973312,0.581486527094484,0.23272500000000002,0
RoboDojo-RealWorld,sweep_blocks,Pi-05,10,0.7,0.5,0.3,0.1,0.50105,0.197380493967656,0.0877577738278213,0.15625,1,0.24805,0.7358167475112559
RoboDojo-RealWorld,sweep_blocks,GalaxeaVLA (G0),10,0.7,0.4,0,0,0.33117499999999994,0.16312386106054466,0.23672309207208392,0.265625,0.6421657491842719,0.1655875,0
RoboDojo-RealWorld,sweep_blocks,GROOT-N1.7,10,0.8,0.7,0.4,0,0.7251,0.38370764992840467,0.10514971859181846,0.25,0.766882555220354,0.56255,0
RoboDojo-RealWorld,sweep_blocks,InternVLA-A1,10,0.9,0.4,0.1,0,0.4688999999999999,0.2612883601090386,0.1826160895622529,0.203125,0.03260371647620095,0.23444999999999994,0
RoboDojo-RealWorld,sweep_blocks,Pi-0,10,0,0,0,0,0.0834,0.06187389131223478,0.026806584323457158,0.671875,0.6585712055923377,0.0417,0
RoboDojo-RealWorld,sweep_blocks,Spirit v1.5,10,0.7,0.6,0.3,0,0.5355249999999998,0.2691636959566579,0.25568012704655974,0.171875,0.05997317373554825,0.46776249999999997,0
RoboDojo-RealWorld,sweep_blocks,StarVLA,10,0.3,0.2,0.1,0,0.12155,0.0514769085123135,0.18568243431231504,0.5,0.666660120257146,0.060774999999999996,0
RoboDojo-RealWorld,sweep_blocks,X-VLA,10,1,0.2,0.1,0,0.4140499999999999,0.17662702684395334,0.19462619658934116,0.125,0.3581487034410378,0.20702500000000001,0
RoboDojo-RealWorld,sweep_blocks,Xiaomi-Robotics-0,10,0.9,0.5,0.3,0,0.48080714285714277,0.1817213442094813,0.22248025891678413,0.140625,0.6419665571576103,0.34040357142857147,0
RoboDojo-Sim,align_blocks,AHA-WAM,6,0,0,0,0,0.10114999999999999,0.056536545997352174,0.035815813390016535,0.2352941176470588,0.927348305100333,0.05057499999999999,0
RoboDojo-Sim,align_blocks,Fast-WAM,6,0,0,0,0,0.11564285714285716,0.1073907763177106,0.01466136831504204,0.16666666666666666,0.7462096075620419,0.057821428571428565,0
RoboDojo-Sim,align_blocks,GalaxeaVLA (G0),6,0.3333333333333333,0.16666666666666666,0,0,0.13715,0.1029535931395662,0.0392928088085098,0.14705882352941174,1,0.068575,0
RoboDojo-Sim,align_blocks,GigaWorld-Policy-0,6,0.16666666666666666,0,0,0,0.1103357142857143,0.10920625322680574,0.003301241506133072,0.3823529411764706,0.5002228305850894,0.055167857142857143,0
RoboDojo-Sim,align_blocks,GROOT-N1.7,6,0,0,0,0,0.11882857142857145,0.11225317695327995,0.007521417780944992,0.4411764705882353,0.8571502205335517,0.05941428571428571,0
RoboDojo-Sim,align_blocks,Hy-Embodied-0.5-VLA,6,0.16666666666666666,0,0,0,0.1031,0.09787468487394954,0.02164695154105506,0.29411764705882354,0.0002272210861230975,0.05155,0
RoboDojo-Sim,align_blocks,InternVLA-A1,6,0,0,0,0,0.11204285714285715,0.1047743968161844,0.001219633612106734,0.27647058823529413,0.00002275630918672202,0.05602142857142856,0
RoboDojo-Sim,align_blocks,LDA-1B,6,0,0,0,0,0.19762857142857135,0.1682127514274856,0.042214782102725945,0.2647058823529411,0.24046287510760242,0.09881428571428572,0
RoboDojo-Sim,align_blocks,Pi-0,6,0,0,0,0,0.13348571428571426,0.09228098149666655,0.03254596668189818,0.20588235294117646,0.00004837361012252339,0.06674285714285713,0
RoboDojo-Sim,align_blocks,Pi-05,6,0,0,0,0,0.11978571428571425,0.10814285714285715,0,0,0.7832507675367286,0.05989285714285714,0
RoboDojo-Sim,align_blocks,Spatial Forcing,6,0,0,0,0,0.12840476190476197,0.101537116412083,0.008960091695321455,0.2761904761904762,1,0.06420238095238097,0
RoboDojo-Sim,align_blocks,Spirit v1.5,6,0.5,0,0,0,0.22675,0.12356378766850469,0.07633719512223239,0.20588235294117652,0.24407029873111574,0.113375,0
RoboDojo-Sim,align_blocks,StarVLA,6,0,0,0,0,0.1221,0.08614225138061485,0.04051051132684881,0.39338235294117646,0.5192311703492711,0.06105,0
RoboDojo-Sim,align_blocks,X-VLA,6,0,0,0,0,0.12955,0.09878571428571428,0.06930054590973653,0.24264705882352938,0.392387427308334,0.064775,0
RoboDojo-Sim,align_blocks,X-WAM,6,0,0,0,0,0.09835714285714285,0.09835714285714285,0,0.125,0.5012565098167165,0.04917857142857143,0
RoboDojo-Sim,align_blocks,Xiaomi-Robotics-0,6,0,0,0,0,0.1059,0.09099297580246071,0.04985711027725688,0.3264705882352942,0.4154327630200134,0.05295,0
RoboDojo-Sim,arrange_largest_number,Hy-Embodied-0.5-VLA,12,0.4166666666666667,0.25,0.16666666666666666,0.16666666666666666,0.06129999999999999,0.029335482580826466,0.05179693802790762,0.9034090909090909,0.6125216681961915,0.015099999999999999,0.6272731162511294
RoboDojo-Sim,arrange_largest_number,AHA-WAM,12,0.5,0.25,0.16666666666666666,0.08333333333333333,0.1996,0.042777996878328006,0.07798385481527606,0.4829545454545454,0.800099950024987,0.05599999999999999,0.6347982492094045
RoboDojo-Sim,arrange_largest_number,X-WAM,12,0.5833333333333334,0.25,0.08333333333333333,0.08333333333333333,0.3125,0.06736834207334835,0.11657962327591709,0.36363636363636365,0.9060725927811866,0.1264,0.6134741166394458
RoboDojo-Sim,arrange_largest_number,Xiaomi-Robotics-0,12,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.06249999999999999,0.02433565787999534,0.13545509781682175,0.8920454545454546,0.7560587950788307,0.0212,0.6600718023371338
RoboDojo-Sim,arrange_largest_number,Fast-WAM,12,0.25,0.08333333333333333,0,0,0.06634999999999999,0.021402026388806873,0.1232192301752027,0.8465909090909091,0.81680127452722,0.033174999999999996,0
RoboDojo-Sim,arrange_largest_number,GalaxeaVLA (G0),12,0.16666666666666666,0.08333333333333333,0,0,0.094,0.032301836952520466,0.16208180355202015,0.6988636363636364,0.48980918241106003,0.04699999999999999,0
RoboDojo-Sim,arrange_largest_number,GigaWorld-Policy-0,12,0.25,0,0,0,0.13185,0.030320582148930027,0.13248197639007492,0.5511363636363636,0.8446451803417548,0.065925,0
RoboDojo-Sim,arrange_largest_number,GROOT-N1.7,12,0.25,0,0,0,0.08409999999999998,0.02529595452784578,0.1687332274408666,0.7954545454545454,0.6138758532565153,0.04205,0
RoboDojo-Sim,arrange_largest_number,InternVLA-A1,12,0.25,0,0,0,0.07719999999999999,0.0262531607182072,0.10678010072572452,0.7443181818181819,0.6925441967717166,0.038599999999999995,0
RoboDojo-Sim,arrange_largest_number,LDA-1B,12,0.3333333333333333,0,0,0,0.1222,0.0224688013088762,0.19816257852462582,0.6363636363636364,0.5458855758243515,0.0611,0
RoboDojo-Sim,arrange_largest_number,Pi-0,12,0.25,0,0,0,0.0853,0.03214047841615822,0.1703869285256661,0.7443181818181819,0.653673374100752,0.04265,0
RoboDojo-Sim,arrange_largest_number,Pi-05,12,0.5833333333333334,0.3333333333333333,0,0,0.30499999999999994,0.10823221408402806,0.11802473069742692,0.3920454545454546,1,0.15250000000000002,0
RoboDojo-Sim,arrange_largest_number,Spatial Forcing,12,0.5,0.16666666666666666,0.08333333333333333,0,0.24999999999999994,0.06502860273933028,0.2006315441527439,0.4602272727272727,0.9153836083044535,0.125,0
RoboDojo-Sim,arrange_largest_number,Spirit v1.5,12,0.08333333333333333,0,0,0,0.07189999999999999,0.023265432860061504,0.23613617536181938,0.8011363636363636,0.1691935490551031,0.035949999999999996,0
RoboDojo-Sim,arrange_largest_number,StarVLA,12,0.4166666666666667,0.16666666666666666,0,0,0.155,0.026959692307692264,0.15218950185137736,0.4431818181818181,0.8000666444518494,0.07749999999999999,0
